line,sample,GS,SQ_Em1021,SD_Em1021,SQ_Em1022,SD_Em1022,qPCR_date,nanodrop_conc,inc
276,A05,two,0,NA,7.88E-07,9.70E-06,12-Apr-18,2.7,Y
276,C11,two,0,NA,1.72E-06,1.19E-05,12-Apr-18,4.1,Y
276,P05,two,0,NA,0.000119736,6.25E-06,23-Apr-18,11.7,Y
279,E01,two,0,NA,1.34E-06,9.05E-05,12-Apr-18,2.9,Y
279,G13,two,0,NA,1.16E-06,5.91E-06,12-Apr-18,2.5,Y
313,C08,two,0,NA,2.11E-06,1.28E-05,12-Apr-18,3.7,Y
267,H04,four,0,NA,0,NA,09-Jul-18,23.3,N
270,H12,four,0,NA,0,NA,09-Jul-18,16.8,N
276,H03,four,0,NA,0,NA,09-Jul-18,17.7,N
279,P13,four,0,NA,0,NA,09-Jul-18,18.1,N
279,T13,four,0,NA,0,NA,09-Jul-18,26.6,N
267,G06,three,0,NA,0,NA,15-Jun-18,10.9,N
267,G06,three,0,NA,0,NA,09-Jul-18,10.9,N
270,V01,three,0,NA,0,NA,15-Jun-18,14,N
276,G05,three,0,NA,0,NA,15-Jun-18,9.3,N
276,Q03,three,0,NA,0,NA,15-Jun-18,2.3,N
276,Q03,three,0,NA,0,NA,09-Jul-18,2.3,N
276,R03,three,0,NA,0,NA,15-Jun-18,2.1,N
279,J08,three,0,NA,0,NA,15-Jun-18,4.6,N
279,M09,three,0,NA,0,NA,15-Jun-18,9.3,N
279,P03,three,0,NA,0,NA,15-Jun-18,4.1,N
279,P03,three,0,NA,0,NA,09-Jul-18,4.1,N
313,K09,three,0,NA,0,NA,15-Jun-18,8.3,N
313,R05,three,0,NA,0,NA,15-Jun-18,6.3,N
279,R02,two,0,NA,0,NA,23-Apr-18,17.4,N
313,A10,two,0,6.44E-07,0,7.61E-06,12-Apr-18,4.3,N
