gen,sample,loc,column,row,bench,line,type,plant,nod_diss,nod_rem,leaf,flower,fruit,date_diss,notes,shoot,root,height
I,sub,U05,U,5,three,270,exp,I-U05,0,6,6,0,0,14-Jun-16,,0.02,NA,1
II,sub,U05,U,5,three,270,exp,II-U05,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,U05,U,5,three,270,exp,III-U05,10,13,7,0,0,01-Nov-16,,0.091,NA,5
IV,sub,U05,U,5,three,270,exp,IV-U05,0,6,4,0,0,12-Jan-17,,0.049,NA,4
V,sub,U05,U,5,three,270,exp,V-U05,NA,NA,NA,NA,NA,NA,died,NA,NA,1
I,sub,U06,U,6,three,279,exp,I-U06,5,12,23,0,0,14-Jun-16,,0.52,NA,7
II,sub,U06,U,6,three,279,exp,II-U06,0,7,8,0,0,12-Aug-16,clusters,0.114,NA,1.5
III,sub,U06,U,6,three,279,exp,III-U06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,U06,U,6,three,279,exp,IV-U06,10,29,14,0,0,12-Jan-17,,0.2636,NA,5
V,sub,U06,U,6,three,279,exp,V-U06,0,6,5,0,0,29-Mar-17,,0.041,NA,1.5
I,sub,U07,U,7,three,270,exp,I-U07,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,U07,U,7,three,270,exp,II-U07,0,2,6,0,0,12-Aug-16,,0.027,NA,1
III,sub,U07,U,7,three,270,exp,III-U07,0,5,5,0,0,01-Nov-16,,0.03,NA,1
IV,full,U07,U,7,three,270,exp,IV-U07,17,0,15,0,0,12-Jan-17,FD-genIV,0.251,0.072,5
I,sub,U08,U,8,three,267,exp,I-U08,10,49,31,7,0,14-Jun-16,,0.601,NA,7
II,sub,U08,U,8,three,267,exp,II-U08,0,3,15,0,3,12-Aug-16,nods incl below sand,0.241,NA,3.5
III,sub,U08,U,8,three,267,exp,III-U08,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,U08,U,8,three,267,exp,IV-U08,0,10,6,0,0,12-Jan-17,,0.045,NA,0.5
V,sub,U08,U,8,three,267,exp,V-U08,NA,NA,NA,NA,NA,NA,"yellow leaves, died",NA,NA,3.5
I,sub,U09,U,9,three,267,exp,I-U09,10,67,42,9,0,14-Jun-16,,0.922,NA,7
II,sub,U09,U,9,three,267,exp,II-U09,10,23,21,0,0,12-Aug-16,nods incl below sand,0.32,NA,3
III,sub,U09,U,9,three,267,exp,III-U09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,full,U09,U,9,three,267,exp,IV-U09,31,0,12,0,0,12-Jan-17,FD-genIV,0.221,0.099,4
I,sub,U10,U,10,three,313,exp,I-U10,0,7,25,0,0,14-Jun-16,,0.346,NA,7
II,sub,U10,U,10,three,313,exp,II-U10,0,2,16,0,0,12-Aug-16,nods incl below sand,0.131,NA,2
III,sub,U10,U,10,three,313,exp,III-U10,7,10,19,0,0,01-Nov-16,,0.24,NA,7
IV,sub,U10,U,10,three,313,exp,IV-U10,10,13,28,0,0,12-Jan-17,,0.2647,NA,4
V,sub,U10,U,10,three,313,exp,V-U10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,U11,U,11,three,313,exp,I-U11,6,12,5,0,0,14-Jun-16,,0.028,NA,2
II,sub,U11,U,11,three,313,exp,II-U11,8,10,7,0,0,12-Aug-16,,0.052,NA,2
III,sub,U11,U,11,three,313,exp,III-U11,0,11,10,0,0,01-Nov-16,,0.114,NA,6
IV,sub,U11,U,11,three,313,exp,IV-U11,0,7,4,0,0,12-Jan-17,,0.031,NA,1.5
V,sub,U11,U,11,three,313,exp,V-U11,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,U12,U,12,three,267,exp,I-U12,0,0,1,0,0,14-Jun-16,,0.008,NA,3
II,sub,U12,U,12,three,267,exp,II-U12,0,8,19,0,0,12-Aug-16,,0.222,NA,2
III,full,U12,U,12,three,267,exp,III-U12,30,0,10,0,0,01-Nov-16,FD-genIII,0.158,0.049,8.5
I,sub,U13,U,13,three,276,exp,I-U13,0,8,4,0,0,14-Jun-16,late emerge,0.022,NA,2
II,sub,U13,U,13,three,276,exp,II-U13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,sub,U13,U,13,three,276,exp,III-U13,0,4,17,0,0,01-Nov-16,,0.127,NA,7
IV,sub,U13,U,13,three,276,exp,IV-U13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,U13,U,13,three,276,exp,V-U13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,V01,V,1,three,270,exp,I-V01,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,V01,V,1,three,270,exp,II-V01,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,full,V01,V,1,three,270,exp,III-V01,27,0,20,0,0,01-Nov-16,FD-genIII,0.237,0.046,7
I,sub,V02,V,2,three,279,exp,I-V02,10,17,35,0,0,14-Jun-16,,0.72,NA,7
II,sub,V02,V,2,three,279,exp,II-V02,10,33,19,0,0,12-Aug-16,,0.215,NA,4
III,sub,V02,V,2,three,279,exp,III-V02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,V02,V,2,three,279,exp,IV-V02,10,32,9,0,0,12-Jan-17,,0.193,NA,4
V,sub,V02,V,2,three,279,exp,V-V02,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,V03,V,3,three,270,exp,I-V03,3,10,10,0,0,14-Jun-16,,0.096,NA,4
II,sub,V03,V,3,three,270,exp,II-V03,1,10,15,0,0,12-Aug-16,,0.106,NA,1.5
III,sub,V03,V,3,three,270,exp,III-V03,6,10,5,0,0,01-Nov-16,,0.082,NA,6
IV,sub,V03,V,3,three,270,exp,IV-V03,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,V03,V,3,three,270,exp,V-V03,0,0,4,0,0,29-Mar-17,yellow leaves,0.017,NA,3
I,sub,V04,V,4,three,279,exp,I-V04,7,10,35,0,0,14-Jun-16,,0.716,NA,7
II,full,V04,V,4,three,279,exp,II-V04,26,0,26,0,0,12-Aug-16,FD-genII,0.378,0.124,4
I,sub,V05,V,5,three,270,exp,I-V05,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,V05,V,5,three,270,exp,II-V05,10,16,15,0,0,12-Aug-16,,0.116,NA,3
III,sub,V05,V,5,three,270,exp,III-V05,0,12,10,0,0,01-Nov-16,,0.131,NA,7
IV,sub,V05,V,5,three,270,exp,IV-V05,0,11,11,0,0,12-Jan-17,,0.085,NA,5
V,sub,V05,V,5,three,270,exp,V-V05,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,V06,V,6,three,313,exp,I-V06,10,14,36,0,0,14-Jun-16,,0.568,NA,7
II,sub,V06,V,6,three,313,exp,II-V06,0,6,21,0,0,12-Aug-16,,0.212,NA,2.5
III,sub,V06,V,6,three,313,exp,III-V06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,V06,V,6,three,313,exp,IV-V06,0,15,45,0,0,12-Jan-17,,0.527,NA,5
V,sub,V06,V,6,three,313,exp,V-V06,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,V07,V,7,three,267,exp,I-V07,10,19,9,0,0,14-Jun-16,,0.131,NA,4
II,full,V07,V,7,three,267,exp,II-V07,32,0,22,0,0,12-Aug-16,FD-genII,0.234,0.06,2
I,sub,V08,V,8,three,313,control,I-V08,10,47,32,0,0,14-Jun-16,,0.411,NA,6
II,sub,V08,V,8,three,313,control,II-V08,2,10,22,0,0,12-Aug-16,nod incl below sand,0.216,NA,3
III,sub,V08,V,8,three,313,control,III-V08,0,3,4,0,0,01-Nov-16,,0.01,NA,0.5
IV,sub,V08,V,8,three,313,control,IV-V08,8,10,11,0,0,12-Jan-17,,0.156,NA,5
V,sub,V08,V,8,three,313,control,V-V08,0,6,6,0,0,29-Mar-17,,0.056,NA,2.5
I,sub,V09,V,9,three,276,exp,I-V09,10,23,32,0,0,14-Jun-16,,0.349,NA,4
II,sub,V09,V,9,three,276,exp,II-V09,4,10,9,0,0,12-Aug-16,,0.085,NA,2.5
III,sub,V09,V,9,three,276,exp,III-V09,0,2,6,0,0,01-Nov-16,,0.095,NA,4
IV,sub,V09,V,9,three,276,exp,IV-V09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,V09,V,9,three,276,exp,V-V09,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
I,sub,V10,V,10,three,267,exp,I-V10,10,49,31,0,0,14-Jun-16,,0.565,NA,5
II,sub,V10,V,10,three,267,exp,II-V10,10,30,25,2,0,12-Aug-16,"nod clust, nod incl below sand",0.307,NA,4
III,sub,V10,V,10,three,267,exp,III-V10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
IV,sub,V10,V,10,three,267,exp,IV-V10,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
V,sub,V10,V,10,three,267,exp,V-V10,0,9,11,0,0,29-Mar-17,,0.113,NA,3
I,sub,V11,V,11,three,276,exp,I-V11,10,NA,22,0,0,14-Jun-16,,0.252,NA,4
II,sub,V11,V,11,three,276,exp,II-V11,0,2,2,0,0,12-Aug-16,,0.002,NA,1.5
III,sub,V11,V,11,three,276,exp,III-V11,0,7,7,0,0,01-Nov-16,,0.094,NA,6
IV,sub,V11,V,11,three,276,exp,IV-V11,0,8,17,0,0,12-Jan-17,,0.223,NA,4
V,sub,V11,V,11,three,276,exp,V-V11,NA,NA,NA,NA,NA,NA,"brown leaves, died",NA,NA,1
I,sub,V12,V,12,three,267,exp,I-V12,10,40,31,0,0,14-Jun-16,,0.571,NA,6
II,sub,V12,V,12,three,267,exp,II-V12,10,12,13,0,0,12-Aug-16,,0.129,NA,2
III,sub,V12,V,12,three,267,exp,III-V12,5,0,3,0,0,01-Nov-16,,0.013,NA,3.5
IV,full,V12,V,12,three,267,exp,IV-V12,32,0,12,0,0,12-Jan-17,FD-genIV,0.2457,0.056,4.5
I,sub,V13,V,13,three,313,control,I-V13,NA,NA,NA,NA,NA,14-Jun-16,No germination,NA,NA,0
II,sub,V13,V,13,three,313,control,II-V13,NA,NA,NA,NA,NA,NA,No germination,NA,NA,0
III,full,V13,V,13,three,313,control,III-V13,28,0,13,0,0,01-Nov-16,FD-genIII,0.073,0.037,7
